PLAYER;TEAM;NUMBER;POSITION;WEIGHT;LAST ATTENDED;COUNTRY
"Markieff
Morris";DAL;88;F;245 lbs;Kansas;USA
"Monte
Morris";MIN;23;G;183 lbs;Iowa State;USA
"Marcus
Morris Sr.";CLE;24;F;218 lbs;Kansas;USA
"Trey
Murphy III";NOP;25;F;206 lbs;Virginia;USA
"Dejounte
Murray";ATL;5;G;180 lbs;Washington;USA
"Jamal
Murray";DEN;27;G;215 lbs;Kentucky;Canada
"Keegan
Murray";SAC;13;F;225 lbs;Iowa;USA
"Kris
Murray";POR;8;F;210 lbs;Iowa;USA
"Mike
Muscala";OKC;50;F-C;240 lbs;Bucknell;USA
"Svi
Mykhailiuk";BOS;50;G-F;205 lbs;Kansas;Ukraine
"Pete
Nance";CLE;8;F;225 lbs;North Carolina;USA
"Larry
Nance Jr.";NOP;22;F-C;245 lbs;Wyoming;USA
"Andrew
Nembhard";IND;2;G-F;191 lbs;Gonzaga;Canada
"Aaron
Nesmith";IND;23;G-F;215 lbs;Vanderbilt;USA
"Georges
Niang";CLE;20;F;230 lbs;Iowa State;USA
"Daishen
Nix";MIN;12;G;226 lbs;NBA G League Ignite;USA
"Zeke
Nnaji";DEN;22;F-C;240 lbs;Arizona;USA
"Jaylen
Nowell";;;G;201 lbs;Washington;USA
"Markquis
Nowell";;;G;160 lbs;Kansas State;USA
"Frank
Ntilikina";;;G;200 lbs;Strasbourg IG;France
"Jusuf
Nurkic";PHX;20;C;290 lbs;Cedevita;Bosnia and Herzegovina
"Jordan
Nwora";TOR;13;F;225 lbs;Louisville;USA
"Royce
O'Neale";PHX;0;F;226 lbs;Baylor;USA
"Chuma
Okeke";ORL;3;F;229 lbs;Auburn;USA
"Josh
Okogie";PHX;2;G;213 lbs;Georgia Tech;Nigeria
"Onyeka
Okongwu";ATL;17;F-C;240 lbs;Southern California;USA
"Isaac
Okoro";CLE;35;F-G;225 lbs;Auburn;USA
"Kelly
Olynyk";TOR;41;F-C;240 lbs;Gonzaga;Canada
"Eugene
Omoruyi";WAS;97;F;235 lbs;Oregon;Nigeria
"Cedi
Osman";SAS;16;F;230 lbs;Anadolu Efes;Turkey
"Kelly
Oubre Jr.";PHI;9;F-G;203 lbs;Kansas;USA
"Chris
Paul";GSW;3;G;175 lbs;Wake Forest;USA
"Cameron
Payne";PHI;22;G;183 lbs;Murray State;USA
"Gary
Payton II";GSW;0;G;195 lbs;Oregon State;USA
"Maozinha
Pereira";MEM;;F;177 lbs;;Brazil
"Drew
Peterson";BOS;13;F;205 lbs;Southern California;USA
